@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
121               57.117932      54.291167
122               50.573898      63.508245
123               40.792079      75.708535
124               43.565347      72.458879
125               38.933219      77.787893
126               64.702216      42.732291
127               42.498373      73.729650
128               25.129243      90.535214
129               58.454514      52.317526
130               35.605873      81.304104
131               65.958511      40.739806
132               61.187281      48.194822
133               25.846989      89.996149
134               51.033737      62.886270
135               29.137836      87.345085
136               35.828882      81.076878
137               47.754296      67.231145
138               29.625760      86.927271
139               36.355376      80.535581
140               26.965203      89.128202
141               22.150306      92.619811
142               43.977751      71.960934
143               47.057748      68.126095
144               31.674532      85.104458
145               54.086334      58.656544
146               31.744905      85.039902
147               52.117455      61.404477
148               54.409634      58.198623
149               54.638495      57.873339
150               52.352972      61.079516
151               39.577070      77.076830
152               58.118973      52.815723
153               38.980583      77.735920
154               74.652822      26.466715
155               34.241618      82.667202
156               39.949177      76.661433
157               50.125672      64.110590
158               54.225627      58.459486
159               35.920726      80.982941
160               41.497371      74.898597
161               50.586444      63.491332
162               43.221693      72.870926
163               48.204188      66.647799
164               58.287120      52.566290
165               53.083611      60.064894
166               43.845016      72.121624
167               30.933136      85.776775
168               63.622119      44.428935
169               31.915102      84.883237
170               67.905039      37.614288
171               40.380187      76.176230
172               43.862826      72.100082
173               31.661360      85.116533
174               47.067918      68.113092
175               42.043416      74.263757
176               33.186536      83.689287
177               31.754172      85.031398
178               49.607285      64.802304
179               27.589604      88.628754
180               51.888886      61.718852
181               58.052489      52.914217
182               42.650923      73.549520
183               57.261420      54.080688
184               45.763783      69.761818
185               42.777258      73.399960
186               30.532118      86.134448
187               28.570101      87.823273
188               49.916590      64.390208
189               54.149162      58.567700
190               27.324809      88.841864
191               55.820223      56.179135
192               57.742416      53.372641
193               47.838705      67.122008
194               59.231363      51.157264
195               48.270255      66.561783
196               35.825020      81.080828
197               71.962719      30.963569
198               31.419627      85.337223
199               62.529585      46.129055
200               59.021815      51.471165
201               42.577376      73.636419
202               51.650852      62.045194
203               48.353627      66.453126
204               58.612047      52.083010
205               62.450704      46.251161
206               65.843012      40.923817
207               63.906786      43.983281
208               37.042423      79.818971
209               42.230657      74.044515
210               46.246231      69.156053
211               36.642578      80.237417
212               47.447547      67.626487
213               40.253494      76.319303
214               70.915892      32.695578
215               56.047726      55.850222
216               43.847116      72.119083
217               42.505733      73.720981
218               42.475903      73.756135
219               46.980552      68.224666
220               33.382550      83.501549
221               32.340978      84.487943
222               20.561383      93.629653
223               15.506213      96.360149
224               37.385838      79.456474
225               58.929123      51.609800
226               43.720327      72.272194
227               38.253303      78.528131
228               26.053204      89.838661
229               43.111581      73.002411
230               36.563430      80.319780
231               44.918553      70.811115
232               56.314771      55.462997
233               32.588169      84.256365
234               21.684985      92.922935
235               43.179458      72.921407
236               38.054104      78.742893
237               20.824292      93.467507
238               50.678159      63.367580
239               59.220949      51.172868
240               45.014623      70.692628
241               45.887222      69.607292
242               39.261202      77.426888
243               56.409002      55.326073
244               58.415699      52.375253
245               69.293523      35.358062
246               80.562339      16.397444
247               40.507446      76.032143
248               48.457578      66.317446
249               47.977362      66.942423
250               27.814203      88.446537
251               54.056356      58.698916
252               50.527261      63.571095
253               19.219963      94.426164
254               50.300256      63.876436
255               28.004542      88.291036
256               17.139084      95.559235
257               36.685032      80.193183
258               59.803376      50.296910
259               34.533600      82.379394
260               52.014524      61.546171
261               56.859716      54.669087
262               48.793384      65.877632
263               52.803494      60.455046
264               47.875786      67.074003
265               51.452500      62.316324
266               44.644144      71.148479
267               48.051176      66.846660
268               43.653569      72.352682
269               37.736536      79.083342
270               40.388231      76.167144
271               50.949438      63.000599
272               51.468284      62.294773
273               24.589461      90.931258
274               50.162779      64.060863
275               32.378559      84.452846
276               57.456410      53.794114
277               66.735393      39.497808
278               47.734252      67.257028
279               36.538674      80.345525
280               41.716390      74.644799
281               57.441537      53.815998
282               33.454473      83.432422
283               39.830479      76.794295
284               32.967243      83.898183
285               43.201592      72.894956
286               37.614508      79.213511
287               31.567402      85.202486
288               40.546983      75.987317
289               66.043463      40.604351
290               59.421961      50.871148
291               45.158909      70.514283
292               63.169927      45.134597
293               35.948094      80.954920
294               50.050369      64.211395
295               55.297772      56.931148
296               49.478966      64.972719
297               52.243459      61.230756
298               38.167892      78.620350
299               39.407177      77.265417
300               23.677433      91.582087
301               49.045633      65.545775
302               45.421150      70.189026
303               60.512942      49.222697
304               50.635325      63.425400
305               56.382251      55.364948
306               37.254353      79.595602
307               37.179618      79.674492
308               37.942982      78.862304
309               50.265097      63.923640
310               54.765791      57.692006
311               38.697397      78.045877
312               43.912265      72.040261
313               22.184275      92.597426
314               35.016125      81.899054
315               53.277644      59.793796
316               56.756823      54.819360
317               45.296458      70.343869
318               45.569176      70.004757
319               33.943091      82.959251
320               29.922429      86.670160
321               62.219637      46.608347
322               43.090624      73.027406
323               55.891844      56.075686
324               39.131094      77.570396
325               34.927789      81.987429
326               43.830929      72.138654
327               37.759157      79.059171
