@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
203               18.865685     -16.124945       8.503219      -4.857514       1.000000
204               10.117797      -8.830801       4.716493      -1.463374       1.000000
205               13.657177     -10.644745       8.033423      -2.944828       1.000000
206               10.824279      -9.143695       5.780578      -0.377858       1.000000
207                9.402026      -8.544096       3.923775       0.022601       1.000000
208               24.237982     -18.436018      14.019332      -7.145020       1.000000
209               13.398052     -10.863591       7.599082      -1.934975       1.000000
210               18.660904     -15.139724      10.261164      -3.704944       1.000000
211               16.971640     -14.598409       8.156958      -2.896044       1.000000
212               16.862101     -13.895280       9.125717      -2.823635       1.000000
213               22.328503     -16.584377      13.141104      -7.129644       1.000000
214                9.270706      -6.351929       5.760283      -3.523937       1.000000
215               17.718964     -14.933689       9.176828      -2.594689       1.000000
216               21.273403     -14.938414      13.396180      -7.067097       1.000000
217               23.586145     -18.093756      14.321961      -4.878895       1.000000
218               17.880739     -14.953191       9.092628      -3.667022       1.000000
219               13.556368     -11.211188       7.403707      -1.808175       1.000000
220               22.785404     -18.700974      12.580649      -3.342973       1.000000
221               23.023754     -19.172916      12.342273      -3.187607       1.000000
222               21.807722     -18.433977      11.309610      -2.803200       1.000000
223               30.417776     -25.090231      15.306323      -7.838230       1.000000
224               31.168222     -24.003942      17.654774      -9.142089       1.000000
225               15.996554     -11.557806       9.737825      -5.242291       1.000000
226               23.196997     -19.609921      12.120007      -2.580139       1.000000
227               27.267344     -23.571501      12.342565      -5.962675       1.000000
228               31.875031     -21.519054      20.230564     -11.986329       1.000000
229               22.545639     -15.602180      13.682802      -8.812423       1.000000
230               20.384377     -18.149153       9.028253      -2.149823       1.000000
231               22.382496     -20.553080       8.237062      -3.270755       1.000000
232               15.245886     -10.785005       9.369050      -5.323686       1.000000
233               31.139805     -24.687227      18.450085      -4.452262       1.000000
234               31.094931     -25.102818      16.422010      -8.189070       1.000000
235               20.028019     -17.348965       9.997232       0.436221       1.000000
236               25.539234     -16.503344      15.075938     -12.353471       1.000000
237               36.325974     -30.188553      16.871931     -11.116002       1.000000
238               19.547430     -17.473944       8.563322      -1.852779       1.000000
239               18.014004     -13.234210      11.249613      -4.775591       1.000000
240               17.745003     -12.429989      11.778456      -4.652793       1.000000
241               15.875356     -13.882019       7.551439      -1.514019       1.000000
242               22.402340     -18.835665       9.913071      -6.986675       1.000000
243               18.861078     -13.960891      10.885491      -6.506910       1.000000
244               13.791354     -11.263983       7.789697      -1.626277       1.000000
245                6.907004      -5.446887       3.879757      -1.727893       1.000000
246                3.078845      -2.566437       1.528650      -0.745595       1.000000
247               21.128395     -18.073521      10.529731      -2.980214       1.000000
248               21.752150     -19.396980       9.825327      -0.613239       1.000000
249               18.049238     -14.812724       9.977576      -2.608870       1.000000
250               32.618240     -26.329576      18.023668      -6.771302       1.000000
251               18.219727     -13.328260      11.860435      -3.694039       1.000000
252               20.890575     -15.895392      12.183111      -5.943438       1.000000
253               35.303932     -30.713926      17.110485      -3.202147       1.000000
254               14.137339     -11.253366       7.557063      -4.014586       1.000000
255               26.009073     -21.145506      12.825609      -8.052526       1.000000
256               23.944355     -18.383615      14.059712      -6.139972       1.000000
257               24.381563     -19.352848      12.732965      -7.602601       1.000000
258               13.334309     -11.473945       6.360422      -2.386924       1.000000
259               19.557119     -15.657799      11.114623      -3.712066       1.000000
260               15.413417     -12.350880       8.902082      -2.404605       1.000000
261               18.704496     -14.808261      10.499681      -4.508915       1.000000
262               22.216105     -16.067101      13.364326      -7.536468       1.000000
263               21.226562     -16.216953      12.987232      -4.348475       1.000000
264               17.644421     -13.378586      10.080744      -5.542349       1.000000
265               21.437351     -16.925432      12.453909      -4.241452       1.000000
266               21.549944     -18.092075      11.535267      -2.003637       1.000000
267               15.872350     -12.569767       8.661509      -4.348647       1.000000
268               20.392069     -16.850321      10.837302      -3.802105       1.000000
269               26.446859     -20.858534      14.955750      -6.378364       1.000000
270               21.335295     -16.365810      12.286744      -6.032494       1.000000
271               18.609499     -14.857978      11.134297      -1.257534       1.000000
272               18.391298     -16.058176       8.417655      -3.085114       1.000000
273               22.272747     -18.684904      10.810401      -5.484968       1.000000
274               14.490813     -10.966152       8.213383      -4.718849       1.000000
275               19.104349     -16.886892       8.624854      -2.328289       1.000000
276               13.915084     -11.545424       7.762104       0.287159       1.000000
277               12.575858      -9.344224       7.846680      -3.044225       1.000000
278               20.244745     -16.728453      10.399112      -4.676221       1.000000
279               21.671402     -15.968582      12.743523      -7.228876       1.000000
