@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
14978             30.772589     -27.154922      -6.942835     -12.702736
14979             27.180321     -22.817158     -13.736987      -5.426079
14980             29.221281     -18.172586     -10.925603     -20.106506
14981             34.923309     -28.646410     -14.355309     -13.890491
14982             33.152325     -25.881622     -13.038782     -16.099953
14983             29.227188     -25.168217      -8.269711     -12.345093
14984             27.551331     -23.983877      -3.776267     -13.022644
14985             29.400084     -25.922464      -9.727556      -9.887636
14986             25.143948     -20.615219       7.774667     -12.115501
14987             33.181118     -24.177210      -7.717301     -21.375044
14988             31.932436     -30.583122      -6.526672      -6.461854
14989             33.255196     -26.509226     -14.477819     -13.912647
14990             37.030571     -33.516323       6.360271     -14.403691
14991             40.825298     -34.787022     -15.561832     -14.642315
14992             35.080528     -15.116894     -17.858568     -26.137991
14993             26.540733     -19.890236     -12.073060     -12.768332
14994             24.769600     -23.134094       0.879487      -8.807569
14995             32.171635     -27.853920     -15.794658       3.114807
14996             23.062027     -16.958054      -2.677798     -15.398407
14997             21.327885     -14.675498      -8.182649     -13.135931
14998             22.846813     -19.272848      -8.337272      -9.001337
14999             28.093822     -25.615410       2.590165     -11.242982
15000             16.909019      -9.833780     -12.366483      -6.023438
15001             33.684074     -27.233931      -3.358777     -19.535830
15002             24.735996     -16.565287     -10.071236     -15.363301
15003             25.497505     -18.851116      -6.211301     -16.005558
15004             37.178665     -32.206615      -9.724830     -15.824500
15005             38.587952     -35.854778     -11.241204      -8.780661
15006             29.475721     -26.079672     -13.455711      -2.759104
15007             30.793585     -27.007776     -14.012576       4.740529
15008             43.293304     -37.900135     -20.925804      -0.022670
15009             30.065948     -23.698862     -15.264137     -10.456164
15010             29.072920     -25.958698      -6.097927     -11.584296
15011             35.264988     -28.814871     -17.327051     -10.634651
15012             39.469612     -33.159222     -20.181459      -7.143182
15013             42.289207     -40.783825      -8.310245      -7.483068
15014             36.511105     -36.218861      -4.025941      -2.246485
15015             28.463133     -26.275566      -2.802410     -10.577858
15016             33.202576     -25.680946     -17.093472     -12.276532
15017             23.151081     -22.341465      -0.898575      -6.002004
15018             34.356014     -32.710518     -10.329282      -1.914063
15019             28.342793     -20.442308      -6.955560     -18.358816
