#time   Angle(Efield(t), avg_field)   Projection(Efield(t), avg_field)   Alignment(Efield(t), avg_field)
304               15.908558                     27.619774                        74.917132
305               13.605774                     32.783169                        88.922560
306                5.504845                     28.797649                        78.112054
307                5.327265                     22.621080                        61.358446
308                5.984646                     23.793159                        64.537650
309               20.939466                     25.390890                        68.871409
310               15.032415                     25.397812                        68.890184
311               11.338730                     23.328882                        63.278323
312                9.456045                     22.769699                        61.761570
313               21.061413                     25.629009                        69.517291
314                3.714149                     19.522116                        52.952677
315               18.369441                     25.647070                        69.566280
316               26.266571                     20.209938                        54.818356
317                9.894157                     20.959534                        56.851596
318                3.962991                     23.511370                        63.773310
319                6.406034                     33.797157                        91.672951
320               13.598731                     28.947311                        78.518003
321               11.153338                     30.087788                        81.611484
322               15.046326                     31.073984                        84.286487
323               13.111991                     24.147617                        65.499097
324               11.528630                     34.400478                        93.309426
325               14.636816                     29.924343                        81.168151
326                9.544025                     23.415333                        63.512814
327               14.579132                     27.728642                        75.212431
328               13.758183                     27.860710                        75.570661
329               17.181043                     20.100121                        54.520482
330                8.108231                     24.814144                        67.307013
331                9.291237                     25.849266                        70.114726
332               11.414819                     23.330725                        63.283318
333               24.067564                     23.332687                        63.288641
334                8.235018                     26.277954                        71.277517
335                9.445688                     23.325674                        63.269621
336                7.342325                     20.909922                        56.717026
337               14.090090                     20.003420                        54.258186
338               15.267237                     29.593916                        80.271888
339               17.605846                     23.723671                        64.349163
340               22.812988                     28.171856                        76.414627
341                6.971054                     19.529432                        52.972519
342                9.834074                     26.129318                        70.874351
343               16.949695                     22.681492                        61.522311
344               19.925459                     35.137119                        95.307523
345                4.546700                     38.534435                       104.522562
346               12.294382                     24.487225                        66.420263
347               21.781493                     28.459257                        77.194184
348               14.918639                     21.645409                        58.711994
349               32.121185                     19.018473                        51.586568
350                6.484615                     32.806641                        88.986224
351                7.412751                     32.586330                        88.388646
352                8.547597                     45.935646                       124.597943
353               22.165355                     29.955013                        81.251341
354               10.406563                     32.098125                        87.064415
355                7.817583                     30.996817                        84.077179
356               16.694258                     31.349096                        85.032713
357                4.282949                     33.453316                        90.740299
358               15.263320                     30.562862                        82.900101
359               16.135729                     25.949160                        70.385683
360               16.274400                     27.730940                        75.218666
361                6.835437                     34.700890                        94.124275
362               20.701030                     23.769522                        64.473534
363               12.017523                     26.258127                        71.223742
364               13.824169                     27.794968                        75.392336
365               13.670097                     22.838354                        61.947793
366                1.830345                     28.692396                        77.826560
367                7.525508                     29.466124                        79.925257
368                9.171619                     26.534851                        71.974337
369                9.288825                     34.550236                        93.715632
370               11.130009                     28.695715                        77.835566
371               20.407174                     15.752254                        42.727134
372               18.993594                     23.243809                        63.047564
373               14.511836                     30.576794                        82.937890
374               11.717613                     20.951590                        56.830043
375                7.923030                     24.244144                        65.760922
376               15.440866                     30.808058                        83.565181
377               18.911630                     28.158253                        76.377726
378                5.420361                     34.235882                        92.862964
379               19.817504                     30.481430                        82.679218
380               25.473407                     31.059431                        84.247017
381               24.829757                     32.960217                        89.402795
382               12.019016                     26.627445                        72.225493
383               17.249734                     29.221313                        79.261220
384               18.064138                     19.089682                        51.779723
385                5.319019                     29.639559                        80.395687
386                3.955572                     31.816242                        86.299825
387                8.532902                     31.503592                        85.451776
388               25.095534                     24.393332                        66.165584
389               14.683209                     35.441315                        96.132636
390               22.540708                     14.583655                        39.557371
391               19.607251                     18.903708                        51.275277
392                6.842205                     26.079556                        70.739377
393                5.079833                     22.742476                        61.687726
394                3.524090                     32.185654                        87.301832
395                4.994575                     31.409920                        85.197699
396                9.093233                     31.121801                        84.416193
397                6.230329                     27.628809                        74.941641
398               12.487892                     31.169622                        84.545904
399                7.342779                     29.549065                        80.150229
400                3.146596                     37.018860                       100.411642
401               14.649285                     28.020964                        76.005340
402                7.772789                     28.117811                        76.268029
403                7.812535                     18.228403                        49.443552
404               13.584504                     34.460270                        93.471605
405               11.032211                     36.563557                        99.176657
406               13.285045                     31.941168                        86.638677
407               36.149654                     17.443893                        47.315609
408                8.408029                     28.387699                        77.000087
409                8.858783                     32.353561                        87.757272
410                6.472357                     24.382563                        66.136372
411                7.950459                     34.104301                        92.506063
412                4.324090                     30.368019                        82.371598
413                5.234240                     30.187698                        81.882489
414               10.434130                     26.655588                        72.301829
415                6.126151                     35.689857                        96.806794
416               13.592688                     36.835690                        99.914801
417                8.014055                     26.880411                        72.911650
418                8.028911                     29.948965                        81.234938
419                3.571716                     24.193638                        65.623927
420                2.983603                     27.535334                        74.688095
421               30.336929                     17.885695                        48.513973
422                2.475990                     26.933275                        73.055041
423                8.324117                     23.395847                        63.459963
424               15.386965                     32.423996                        87.948322
425               20.181726                     25.261927                        68.521601
426               10.406487                     28.915953                        78.432947
427               16.868819                     25.637711                        69.540894
428                6.790037                     19.029694                        51.617008
429               34.203205                     15.102111                        40.963653
430                9.479754                     30.310722                        82.216185
431               15.718294                     23.437548                        63.573074
432                6.928549                     34.977234                        94.873840
433                6.717438                     27.396626                        74.311852
434                8.126926                     26.162605                        70.964640
435                8.520787                     26.125902                        70.865089
436                2.067532                     25.490986                        69.142908
437                3.801894                     30.434990                        82.553250
438                3.894556                     35.435207                        96.116072
439                3.990812                     24.092241                        65.348893
440               10.705188                     21.510729                        58.346683
441               14.777735                     25.027412                        67.885494
442                6.192737                     28.161884                        76.387578
443               22.523561                     20.622417                        55.937183
444               11.469442                     38.990353                       105.759203
445                7.294255                     31.148262                        84.487963
446               14.752328                     32.212326                        87.374181
447               19.107367                     19.777193                        53.644562
448               10.742519                     27.490707                        74.567044
449               22.390243                     27.022362                        73.296684
450               20.051361                     27.798357                        75.401527
