@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
202               28.743132     -25.669735      -8.566675      -9.687332
203               28.802181     -26.303511     -11.224487       3.420797
204               32.042755     -30.866655       1.781966      -8.415000
205               34.213295     -33.344559      -4.781490      -5.985602
206               30.666626     -27.732721     -11.468364      -6.309896
207               27.029182     -23.126101     -13.866024      -1.869110
208               25.018518     -24.249811      -1.470392      -5.975858
209               27.675468     -21.742083     -14.498610      -9.110634
210               17.694782     -15.844492      -4.628974      -6.374161
211               27.629370     -25.156296      -0.548665     -11.412354
212               27.401419     -23.979439     -10.090847      -8.602267
213               32.351662     -31.679800      -2.639894       6.004272
214               29.270185     -28.510094      -3.464368      -5.649467
215               26.507299     -25.370955      -2.943626      -7.091309
216               26.829243     -25.090456      -1.871334      -9.315331
217               25.031012     -20.846090     -12.279181      -6.419794
218               34.670727     -29.812817     -17.565737       2.167968
219               27.155636     -25.890312      -6.516435      -4.965515
220               29.368090     -25.096861      -6.835638     -13.634747
221               16.720440     -12.165240      -4.840123     -10.399674
222               25.423445     -20.127987     -10.330705     -11.597079
223               27.720903     -27.534452      -0.319797      -3.193769
224               25.694187     -24.348732       8.190080       0.503120
225               39.007725     -35.754463     -10.384225     -11.635674
226               25.288651     -25.018946       3.511128      -1.113631
227               21.601652     -19.315893      -6.141510       7.470577
228               35.553192     -34.851562      -6.632699       2.324978
229               32.197285     -30.228535     -11.031339      -1.100160
230               24.789276     -23.684364      -6.365158      -3.611635
231               27.867702     -25.109020      -9.533028      -7.434201
232               29.094975     -27.604935      -8.537931      -3.404234
233               35.708561     -33.547523      -0.633574     -12.217352
234               24.360126     -20.513777      -5.585160     -11.891458
235               26.834150     -21.608294      -0.407168     -15.905581
236               32.009411     -29.964310      -7.650195      -8.259358
237               27.631308     -23.719490       1.008452     -14.137114
238               28.376846     -27.275764       1.113477       7.748432
