@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
121               31.085166      85.640078
122               63.725182      44.267717
123               39.714388      76.923929
124               49.899930      64.412465
125               71.652422      31.478078
126               42.408507      73.835530
127               25.614571      90.172256
128               47.892862      67.051909
129               55.286023      56.948015
130               41.842227      74.498458
131               41.497660      74.898281
132               38.503533      78.256983
133               42.141600      74.148886
134               53.255332      59.825013
135               43.642348      72.366185
136               42.821696      73.347263
137               39.212680      77.480459
138               31.021033      85.697804
139               39.263550      77.424304
140               56.494254      55.202051
141               63.876049      44.031452
142               71.591981      31.578180
143               50.702130      63.335218
144               41.876408      74.458643
145               27.561518      88.651454
146               48.250044      66.588108
147               66.053254      40.588743
148               46.281775      69.111247
149               64.723233      42.699124
150               42.386196      73.861787
151               43.451370      72.595842
152               69.232428      35.457778
153               51.779169      61.869412
154               31.518801      85.246858
155               21.518177      93.030139
156               48.119878      66.757431
157               53.803673      59.055393
158               49.622103      64.782608
159               52.464711      60.924997
160               45.594570      69.973097
161               60.059884      49.909459
162               54.425347      58.176329
163               53.317241      59.738383
164               50.999741      62.932386
165               51.706139      61.969505
166               44.891777      70.844123
167               65.539950      41.405864
168               48.241030      66.599843
169               55.035487      57.306900
170               44.247942      71.632699
171               53.272011      59.801686
172               47.166710      67.986744
173               52.079403      61.456887
174               48.062145      66.832414
175               67.690089      37.961621
176               46.716692      68.560629
177               51.538785      62.198483
178               33.270601      83.608904
179               39.326415      77.354818
180               27.285829      88.873052
181               73.267400      28.790550
182               56.938412      54.554033
183               59.185212      51.226463
184               64.108712      43.666494
185               47.252682      67.876632
186               59.120831      51.322929
187               64.779068      42.610980
188               38.436253      78.330029
189               48.413701      66.374745
190               55.823340      56.174647
191               69.157029      35.580804
192               56.619642      55.019442
193               83.352355      11.576320
194               52.581545      60.763167
195               71.292971      32.072917
196               67.357731      38.497629
197               80.612190      16.311613
198               48.957745      65.661536
199               33.672446      83.222086
200               34.543292      82.369794
201               41.076725      75.383027
202               53.361154      59.676898
203               56.604407      55.041645
204               26.947009      89.142601
205               41.547146      74.841021
206               63.320499      44.899937
207               62.693060      45.875722
208               45.120838      70.561395
209               67.303039      38.585716
210               54.162598      58.548703
211               35.878792      81.025866
212               55.801421      56.206282
213               43.107313      73.007510
214               35.404958      81.507763
215               43.779442      72.200861
216               35.479558      81.432258
217               67.395073      38.437465
218               62.217078      46.612296
219               51.031040      62.889926
220               52.877987      60.351430
221               58.119906      52.814332
222               59.329592      51.009880
223               34.388177      82.523001
224               27.673548      88.560817
225               43.916411      72.035254
226               25.810367      90.024012
227               52.837600      60.407619
228               56.332147      55.437757
229               53.677852      59.232464
230               57.356180      53.941498
231               56.798141      54.759036
232               47.140103      68.020799
233               38.178617      78.608765
234               53.455619      59.544527
235               39.154963      77.544113
236               49.563180      64.860921
237               39.354530      77.323699
238               44.570575      71.238651
239               50.181482      64.035803
240               46.275840      69.118732
241               73.747148      27.987682
242               47.791865      67.182575
243               67.822528      37.747671
244               72.890753      29.419454
245               46.038308      69.417724
246               53.250350      59.831980
247               41.338522      75.082029
248               65.163293      42.003361
249               48.567786      66.173363
250               60.901867      48.630695
251               60.483397      49.267572
252               30.276027      86.360659
253               52.093848      61.436996
254               87.917151       3.634460
255               45.697901      69.844154
256               58.316345      52.522891
257               51.966807      61.611782
258               67.397084      38.434234
259               52.544380      60.814671
260               59.667204      50.502174
261               43.186374      72.913139
262               46.652862      68.641688
263               26.609683      89.407854
264               25.544658      90.224939
265               59.442114      50.840858
266               56.173142      55.668512
267               46.926424      68.293696
268               28.333505      88.019992
269               36.767390      80.107214
270               48.765838      65.913789
271               42.315275      73.945160
272               57.543639      53.665709
273               22.067935      92.673883
274               30.886060      85.818991
275               41.870944      74.465011
276               36.222750      80.672583
277               29.318136      87.191429
278               38.386937      78.383499
279               22.888452      92.126377
280               48.830618      65.828726
281               32.127331      84.686832
282               57.871283      53.182301
283               37.055233      79.805500
284               37.417195      79.423233
285               45.284104      70.359193
286               48.363681      66.440014
287               50.456833      63.665942
288               57.545775      53.662558
289               43.536019      72.494168
290               48.565125      66.176835
291               52.630807      60.694860
292               45.724880      69.810435
293               26.696281      89.340052
294               30.810521      85.886578
295               57.068297      54.363897
296               39.830244      76.794554
297               68.989960      35.853157
298               34.821151      82.093846
299               34.220412      82.688016
300               35.883460      81.021091
301               33.871177      83.029276
302               51.706852      61.968524
303               54.165075      58.545199
304               52.252006      61.218969
305               57.461040      53.787303
306               52.647503      60.671689
307               38.525339      78.233275
308               63.888646      44.011715
309               46.872158      68.362860
310               15.984618      96.133563
311               34.894473      82.020699
312               36.689782      80.188220
313               70.736203      32.991790
314               32.466135      84.370901
315               41.035180      75.430665
316               28.783553      87.644497
317               48.064376      66.829510
318               57.455636      53.795240
319               40.244709      76.329204
320               44.915540      70.814843
321               39.495373      77.167589
322               37.810548      79.004213
323               45.049233      70.649885
324               55.295204      56.934829
325               49.449447      65.011879
326               41.029270      75.437444
327               57.125609      54.279916
328               50.912793      63.050247
329               61.680065      47.439447
330               56.279776      55.513809
331               37.310286      79.536473
332               45.027248      70.677043
333               37.650382      79.175289
334               52.503637      60.871108
335               59.921499      50.118607
336               52.173423      61.327356
337               26.644178      89.380871
338               53.598939      59.343377
339               40.257151      76.315186
340               41.664062      74.705533
341               53.086806      60.060434
342               32.523976      84.316657
343               52.768699      60.503428
344               54.667272      57.832371
345               46.688318      68.596678
346               60.085606      49.870547
347               43.776224      72.204744
348               39.696624      76.943725
349               41.774872      74.576828
350               26.043638      89.845982
351               69.299755      35.347885
352               43.761882      72.222052
353               56.263248      55.537802
354               44.812786      70.941352
355               47.076663      68.101913
356               69.707639      34.681054
357               48.807386      65.859242
358               56.840206      54.697602
359               50.196180      64.016098
360               59.807647      50.290460
361               50.269636      63.917549
362               57.905727      53.131389
363               45.143066      70.533901
364               45.976507      69.495321
365               34.201485      82.706600
366               28.394242      87.969644
367               46.351195      69.023620
368               34.456414      82.455692
369               46.083330      69.361146
370               58.778470      51.834838
371               65.203287      41.939997
372               46.214427      69.196140
373               54.661164      57.841073
374               52.906053      60.312363
375               50.555198      63.533452
376               58.667502      52.000360
377               48.182627      66.675842
378               19.799142      94.088582
379               74.751412      26.300739
380               46.369604      69.000356
381               53.207320      59.892133
382               49.798024      64.548396
383               48.061374      66.833410
384               50.117430      64.121618
385               66.132471      40.462330
386               60.180702      49.726621
387               48.186879      66.670308
388               51.302521      62.520823
389               47.427345      67.652460
390               37.605846      79.222738
391               49.144241      65.415697
392               51.073810      62.831875
393               55.051633      57.283811
394               55.293879      56.936735
395               51.304092      62.518689
396               43.232947      72.857486
397               41.926516      74.400248
398               33.102807      83.769198
399               66.788236      39.413070
400               45.275832      70.369450
401               63.218780      45.058499
402               34.275773      82.633645
403               28.850613      87.588080
404               30.077236      86.535050
405               64.708228      42.722802
406               61.554711      47.631937
407               58.880213      51.682896
408               40.254884      76.317741
409               38.757749      77.979979
410               57.808710      53.274764
411               41.972944      74.346084
412               46.072790      69.374396
413               34.476437      82.435906
414               47.254166      67.874728
415               41.685876      74.680203
416               33.845990      83.053765
417               48.019095      66.888279
418               68.486592      36.671902
419               57.617342      53.557134
420               55.221444      57.040615
421               53.127262      60.003963
422               33.601071      83.291090
423               55.443839      56.721365
424               52.715150      60.577802
425               53.779569      59.089338
426               50.733557      63.292754
427               39.483140      77.181175
428               37.363886      79.479732
429               43.699763      72.296986
430               36.961023      79.904477
431               50.027508      64.241976
432               48.046924      66.852178
433               61.907874      47.089062
434               14.222050      96.935076
435               56.192301      55.640728
436               70.274588      33.751275
437               69.299840      35.347748
438               51.240345      62.605490
439               45.706466      69.833452
440               21.577789      92.991905
441               62.772148      45.753019
442               54.107536      58.626574
443               26.600692      89.414884
444               49.417996      65.053573
445               68.025730      37.419023
446               63.170062      45.134381
447               42.754278      73.427175
448               30.874196      85.829607
449               57.650048      53.508906
450               48.663549      66.047952
451               43.161049      72.943384
452               41.711196      74.650812
453               76.559996      23.242704
454               58.658929      52.013155
455               34.979684      81.935548
456               53.668696      59.245331
457               54.407026      58.202320
458               51.418490      62.362736
459               59.258390      51.116727
460               35.041423      81.873721
461               38.169328      78.618774
462               52.794726      60.467242
463               55.837799      56.153771
464               49.168379      65.383835
465               58.167085      52.744378
466               61.943475      47.034238
467               58.216422      52.671214
468               63.204671      45.080478
469               42.494005      73.734806
470               46.620215      68.683106
471               30.072077      86.539573
472               52.088926      61.443766
473               48.145009      66.724765
474               58.541035      52.188778
475               47.365526      67.731882
476               51.947783      61.637932
477               45.629590      69.929424
478               47.545891      67.499957
479               46.982929      68.221624
480               39.353965      77.324326
481               42.665453      73.532342
482               36.576785      80.305898
483               40.469687      76.074942
484               51.075957      62.828965
485               65.019660      42.230735
486               65.457323      41.537091
487               40.286884      76.281641
488               46.141657      69.287759
489               44.798214      70.959284
490               34.191532      82.716362
491               44.181486      71.713580
492               81.296590      15.131967
493               63.568194      44.513225
494               55.572933      56.535666
495               42.488196      73.741662
496               48.756046      65.926639
497               41.994790      74.320562
498               22.351202      92.487023
499               61.473218      47.756947
500               35.678357      81.230394
501               29.464080      87.066416
502               52.738188      60.545803
503               25.906576      89.950760
504               52.525655      60.840611
505               41.778563      74.572527
506               59.784293      50.325681
507               50.828569      63.164276
508               52.926430      60.283992
509               45.847986      69.656433
510               54.156455      58.557390
511               39.551532      77.105218
512               59.064287      51.407601
513               43.729176      72.261518
514               56.832928      54.708213
515               27.892459      88.382715
516               38.607985      78.143353
517               53.674304      59.237451
518               38.235334      78.547545
519               57.337627      53.968757
520               50.949341      63.000721
521               50.861234      63.120066
522               62.641537      45.955603
523               55.183087      57.095591
524               47.260401      67.866739
525               54.577709      57.959812
526               62.153136      46.710994
527               66.392538      40.046832
528               35.365356      81.547793
529               59.045401      51.435878
530               36.756171      80.118946
531               54.424734      58.177184
532               43.304052      72.772413
533               73.438367      28.504661
534               56.567695      55.095137
535               51.931136      61.660813
536               56.850420      54.682668
537                9.971648      98.489374
538               50.056503      64.203185
539               48.195044      66.659694
540               37.468946      79.368319
541               64.562580      42.952514
542               77.667853      21.357858
543               46.310781      69.074640
544               51.629093      62.074984
545               28.190953      88.137801
546               43.121918      72.990092
547               57.917506      53.113980
548               48.523122      66.231768
549               48.581345      66.155602
550               49.871560      64.450336
551               41.840220      74.500790
552               60.800095      48.785810
553               71.434722      31.838494
554               56.337120      55.430535
555               58.351233      52.471070
556               34.931683      81.983544
557               43.769703      72.212603
558               46.480380      68.860287
559               68.154726      37.210142
560               70.157851      33.943005
561               56.203771      55.624096
562               47.480857      67.583647
563               47.782625      67.194532
564               57.669947      53.479561
565               60.701426      48.936076
566               43.506348      72.529814
567               53.270742      59.803453
568               60.142216      49.784886
569               37.075291      79.784400
570               80.910404      15.797880
571               32.583959      84.260329
572               59.576501      50.638750
573               42.768981      73.409765
574               67.189390      38.768624
575               59.790470      50.316369
576               49.324085      65.177970
577               48.970241      65.645097
578               67.709377      37.930469
579               48.070046      66.822169
580               29.426684      87.098514
581               54.362248      58.265856
582               32.985659      83.880689
583               56.503571      55.188503
584               47.681608      67.324987
585               44.537202      71.279528
586               38.937963      77.782692
587               54.426842      58.174202
588               44.890649      70.845514
589               51.184063      62.682056
590               21.718787      92.901131
591               50.218163      63.986605
592               54.696410      57.790871
593               49.487649      64.961192
594               35.041287      81.873850
595               46.373510      68.995427
596               46.801526      68.452775
597               31.110100      85.617608
598               67.136710      38.853366
599               40.128747      76.459812
600               48.917162      65.714949
601               49.363965      65.125157
602               55.610104      56.482152
603               66.895613      39.240754
604               34.446507      82.465462
605               45.451655      70.151081
606               57.015280      54.441539
607               37.157256      79.698064
608               26.104538      89.799283
609               56.170412      55.672458
610               49.743165      64.621499
611               38.026560      78.772525
612               36.558924      80.324488
613               51.371262      62.427148
614               62.000204      46.946836
615               48.998615      65.607735
616               35.613011      81.296861
617               48.616757      66.109246
618               50.252879      63.940039
619               40.852961      75.639084
620               35.654032      81.255142
621               55.029636      57.315264
622               33.790643      83.107526
623               59.910274      50.135557
624               43.470435      72.572954
625               51.365771      62.434634
626               61.643070      47.496281
627               35.236588      81.677666
628               35.604477      81.305529
629               41.622484      74.753753
630               29.090324      87.385440
631               35.232936      81.681348
632               44.964183      70.754859
633               32.749692      84.104181
634               28.810996      87.621416
635               21.709390      92.907207
636               30.393859      86.256790
637               54.183675      58.518875
638               34.405025      82.506398
639               65.422567      41.592269
640               27.717444      88.525214
641               34.930807      81.984397
642               44.271904      71.603513
643               62.514163      46.152929
644               41.075535      75.384399
645               58.636375      52.046753
646               55.071892      57.254809
647               46.203773      69.209569
648               80.929645      15.764715
649               40.629173      75.893986
650               61.782916      47.281351
651               35.964199      80.938410
652               63.112755      45.223616
653               44.694835      71.086281
654               35.814960      81.091117
655               34.868664      82.046448
656               50.300030      63.876736
657               42.525285      73.697913
658               61.520006      47.685187
659               42.031161      74.278072
660               55.031903      57.312038
661               35.845891      81.059500
662               37.557651      79.274043
663               46.275259      69.119449
664               51.838120      61.788536
665               39.719059      76.918706
666               24.948253      90.668912
667               40.312229      76.253018
668               51.850463      61.771596
669               51.603780      62.109609
670               29.229109      87.267410
671               31.175124      85.558907
672               34.589514      82.324032
673               43.084970      73.034160
674               35.441613      81.470677
675               59.617000      50.577778
676               21.872939      92.801242
677               31.188045      85.547218
678               55.659962      56.410310
679               49.818880      64.520593
680               26.338578      89.618787
681               54.580220      57.956267
682               14.551782      96.792095
683               34.665780      82.248393
684               37.568311      79.262698
685               59.592864      50.614117
686               37.410433      79.430405
687               77.319000      21.952266
688               36.496568      80.389248
689               56.208238      55.617610
690               42.141773      74.148675
691               42.297644      73.965886
692               35.765575      81.141507
693               62.251420      46.559257
694               40.285173      76.283569
695               35.706190      81.202065
696               45.920390      69.565717
697               17.705351      95.263297
698               47.868957      67.082856
699               38.920859      77.801443
700               63.128675      45.198826
701               41.367287      75.048842
702               39.714511      76.923768
703               30.144473      86.476190
