@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
197                3.738180      -2.839249       2.332653      -0.686575       1.000000
198               19.738035     -17.085943       9.439557      -2.924958       1.000000
199               19.367208     -17.202311       8.664905      -2.022053       1.000000
200               31.114952     -23.562807      19.442749      -5.908804       1.000000
201               25.006685     -18.038557      15.757893      -7.185652       1.000000
202               17.153009     -13.588505       9.972118      -3.183573       1.000000
203               15.853194     -13.274200       8.665553      -0.166012       1.000000
204               28.563745     -25.449915      12.939934      -0.864550       1.000000
205               25.605579     -21.298449      14.055117      -2.115527       1.000000
206               13.769296      -9.387930       8.833326      -4.840725       1.000000
207               12.399833     -10.319542       6.445031      -2.392587       1.000000
208               17.653416     -12.205441      11.527598      -5.457541       1.000000
209               10.678778      -8.625365       6.084955      -1.616382       1.000000
210               10.360065      -8.353956       6.106166      -0.507055       1.000000
211               22.386936     -16.987558      12.745244      -7.082130       1.000000
212               15.401319     -13.131103       8.038347      -0.399647       1.000000
213               23.619143     -19.226671      13.467713      -2.611457       1.000000
214               23.857473     -20.743937      11.383895      -3.045503       1.000000
215               19.138498     -16.108913      10.183708       1.754171       1.000000
216               21.847658     -18.197039      11.228979      -4.483077       1.000000
217                9.621286      -7.323861       5.922016      -1.964676       1.000000
218               16.160822     -13.671737       7.915116      -3.406866       1.000000
219               17.078159     -13.323181      10.310595      -2.801432       1.000000
220               17.724062     -13.865337      10.662623      -2.864138       1.000000
221                8.830789      -7.991886       3.755278       0.102348       1.000000
222               12.968469     -11.372394       6.225275      -0.309495       1.000000
223               22.876122     -18.601938      12.446756      -4.728962       1.000000
224               22.754982     -17.338203      12.184994      -8.288655       1.000000
225               28.099314     -25.020552      12.595222      -2.214455       1.000000
226               22.765858     -18.861313      12.602646      -1.925725       1.000000
227               13.049044     -11.323298       6.363159      -1.253269       1.000000
228               19.709892     -13.950627      13.365003      -3.903399       1.000000
229               19.071245     -15.791051      10.501667      -2.017445       1.000000
230               13.371707      -9.317099       8.774834      -3.872532       1.000000
231               15.260085     -11.769752       9.138680      -3.290547       1.000000
232               19.790634     -17.170895       9.829136      -0.466551       1.000000
